rows=2000000
region=AR count=99643 qty=1047077 revenue=26203052200
region=AU count=100296 qty=1051461 revenue=26319764398
region=BR count=100194 qty=1052355 revenue=26345621563
region=CA count=100502 qty=1054946 revenue=26457206189
region=DE count=99410 qty=1041177 revenue=26120254088
region=EG count=100999 qty=1061474 revenue=26574597240
region=ES count=100217 qty=1051990 revenue=26332766017
region=FR count=99858 qty=1048213 revenue=26302386507
region=IN count=100055 qty=1051229 revenue=26376677297
region=IT count=100045 qty=1050684 revenue=26362331604
region=JP count=99733 qty=1046529 revenue=26219235398
region=KR count=100143 qty=1050751 revenue=26289255719
region=MX count=100153 qty=1050908 revenue=26300236910
region=NG count=100349 qty=1054283 revenue=26326185150
region=NL count=99412 qty=1048492 revenue=26282323369
region=PL count=99532 qty=1046149 revenue=26238364488
region=SE count=100116 qty=1053786 revenue=26440164233
region=UK count=99739 qty=1046559 revenue=26173377328
region=US count=99719 qty=1047568 revenue=26218579866
region=ZA count=99885 qty=1049671 revenue=26334716017
top_user rank=1 user_id=87079 revenue=12819868
top_user rank=2 user_id=6083 revenue=12752493
top_user rank=3 user_id=31307 revenue=12641092
top_user rank=4 user_id=19540 revenue=12340926
top_user rank=5 user_id=30517 revenue=12324284
top_user rank=6 user_id=90752 revenue=12116147
top_user rank=7 user_id=33893 revenue=11859570
top_user rank=8 user_id=61487 revenue=11775051
top_user rank=9 user_id=20939 revenue=11754073
top_user rank=10 user_id=29499 revenue=11743771
top_user rank=11 user_id=91895 revenue=11705043
top_user rank=12 user_id=19490 revenue=11677544
top_user rank=13 user_id=31248 revenue=11673369
top_user rank=14 user_id=41147 revenue=11667996
top_user rank=15 user_id=3429 revenue=11655970
top_user rank=16 user_id=50775 revenue=11623402
top_user rank=17 user_id=33768 revenue=11591345
top_user rank=18 user_id=98317 revenue=11586502
top_user rank=19 user_id=48151 revenue=11500599
top_user rank=20 user_id=3604 revenue=11495514
top_user rank=21 user_id=48240 revenue=11475656
top_user rank=22 user_id=31680 revenue=11454311
top_user rank=23 user_id=96228 revenue=11426954
top_user rank=24 user_id=91837 revenue=11424464
top_user rank=25 user_id=63185 revenue=11415253
top_user rank=26 user_id=926 revenue=11410849
top_user rank=27 user_id=51795 revenue=11407621
top_user rank=28 user_id=3601 revenue=11378743
top_user rank=29 user_id=66912 revenue=11363674
top_user rank=30 user_id=62239 revenue=11353386
top_user rank=31 user_id=47871 revenue=11341817
top_user rank=32 user_id=54776 revenue=11296525
top_user rank=33 user_id=61168 revenue=11286328
top_user rank=34 user_id=69288 revenue=11274014
top_user rank=35 user_id=3399 revenue=11273069
top_user rank=36 user_id=26283 revenue=11241981
top_user rank=37 user_id=34891 revenue=11237467
top_user rank=38 user_id=70061 revenue=11227608
top_user rank=39 user_id=27980 revenue=11218889
top_user rank=40 user_id=99719 revenue=11190449
top_user rank=41 user_id=340 revenue=11175025
top_user rank=42 user_id=8103 revenue=11174510
top_user rank=43 user_id=45230 revenue=11167331
top_user rank=44 user_id=34039 revenue=11167231
top_user rank=45 user_id=58576 revenue=11149068
top_user rank=46 user_id=60143 revenue=11138156
top_user rank=47 user_id=30478 revenue=11135446
top_user rank=48 user_id=23410 revenue=11131825
top_user rank=49 user_id=22775 revenue=11131396
top_user rank=50 user_id=20023 revenue=11121707
top_user rank=51 user_id=77543 revenue=11120083
top_user rank=52 user_id=24 revenue=11107434
top_user rank=53 user_id=34879 revenue=11104492
top_user rank=54 user_id=69148 revenue=11102786
